"ID";"NOM";"CODCOMMUNE";"COMMUNE";"NUMERO";"VOIE";"ADRESSE";"THEME";"CATEGORIE";"ACTIVITES";"SECTEURS";"CANTON";"STATUT";"GESTIONNAIRE"
8;Bureau de vote (Rest. scol. Claircigny-Boussinière);181;Le Mans;7;rue de Claircigny;7 rue de Claircigny;ADMINISTRATION;Service à la population;Bureaux de vote;BV : 88,89;CANTON LE MANS NORD OUEST;Public;LE MANS
384;Bureau de vote (Rest. scol. Jules Ferry);181;Le Mans;1;rue Jules Ferry;1 rue Jules Ferry;ADMINISTRATION;Service à la population;Bureaux de vote;BV : 66,67,68;CANTON LE MANS SUD-OUEST;Public;LE MANS
385;Bureau de vote (Ec. mat. Pauline Kergomard);181;Le Mans;100;rue Voltaire;100 rue Voltaire;ADMINISTRATION;Service à la population;Bureaux de vote;BV : 85,86,87;CANTON LE MANS NORD OUEST;Public;LE MANS
386;Bureau de vote (Rest. scol. Primaire René Descartes);181;Le Mans;21;rue Besnier;21 rue Besnier;ADMINISTRATION;Service à la population;Bureaux de vote;BV : 27,28;CANTON LE MANS NORD-VILLE;Public;LE MANS
535;Bureau de vote (Ec. prim. Ardriers);181;Le Mans;54;rue du Happeau;54 rue du Happeau;ADMINISTRATION;Service à la population;Bureaux de vote;BV : 82,83;CANTON LE MANS OUEST;Public;LE MANS
536;Bureau de vote (Rest. scol. Clairefontaine);181;Le Mans;170;rue Prémartine;170 rue Prémartine;ADMINISTRATION;Service à la population;Bureaux de vote;BV : 23,24;CANTON LE MANS NORD-VILLE;Public;LE MANS
537;Bureau de vote (Rest. scol. Madeleine);181;Le Mans;6;rue Van Vooren;6 rue Van Vooren;ADMINISTRATION;Service à la population;Bureaux de vote;BV : 92,93;CANTON LE MANS NORD OUEST;Public;LE MANS
565;Bureau de vote (Ec. prim. Villaret);181;Le Mans;138-140;rue d'Isaac;138-140 rue d'Isaac;ADMINISTRATION;Service à la population;Bureaux de vote;BV : 19,20,21,2;CANTON LE MANS NORD-VILLE;Public;LE MANS
566;Bureau de vote (Ec. mat. Marie Curie);181;Le Mans;12;rue de Beauregard;12 rue de Beauregard;ADMINISTRATION;Service à la population;Bureaux de vote;BV : 77,78,79;CANTON LE MANS OUEST;Public;LE MANS
567;Bureau de vote (Ec. prim. Guy Moquet);181;Le Mans;6;av Gréco;6 av Gréco;ADMINISTRATION;Service à la population;Bureaux de vote;BV : 55,56;CANTON LE MANS SUD-EST;Public;LE MANS
988;Bureau de vote (Ec. mat. Mauboussin);181;Le Mans;24;av Georges Durand;24 av Georges Durand;ADMINISTRATION;Service à la population;Bureaux de vote;BV : 47;CANTON LE MANS EST-CAMPAGNE;Public;LE MANS
989;Bureau de vote (Foyer René Clair);181;Le Mans;140;rue Nationale;140 rue Nationale;ADMINISTRATION;Service à la population;Bureaux de vote;BV : 5,6;CANTON LE MANS-CENTRE;Public;LE MANS
990;Bureau de vote (Rest. scol. Paul Courboulay);181;Le Mans;39;rue Paul Courboulay;39 rue Paul Courboulay;ADMINISTRATION;Service à la population;Bureaux de vote;BV : 76;CANTON LE MANS OUEST;Public;LE MANS
