RIVOLI;VOIE;MINIMUM_PAIR;MAXIMUM_PAIR;MINIMUM_IMPAIR;MAXIMUM_IMPAIR;NUM_BV;BUREAU_DE_VOTE
3860;11 NOVEMBRE (RUE DU);2;74;15;89;47;ECOLE MATERNELLE MAUBOUSSIN
1045;117E RI (PLACE DU);2;6;1;9;86;ECOLE MATERNELLE PAULINE KERGOMARD
1648;19 MARS 1962 (RUE DU);2;70BIS;1;21;67;RESTAURANT SCOLAIRE JULES FERRY
5315;33E MOBILES (RUE DU);2;22;;;1;MAIRIE - SALLE PAUL SCARRON
5315;33E MOBILES (RUE DU);;;1;15;13;ECOLE PRIMAIRE SUZANNE-BUSSON
4485;4 SEPTEMBRE (RUE DU);4;44;1;31;72;ECOLE PRIMAIRE MARCEAU
2732;8 MAI 1945 (PLACE DU);;;;;4;ECOLE MATERNELLE GENERAL GOUGEARD
0010;ABATTOIR (RUELLE DE L');18;20;;;44;RESTAURANT SCOLAIRE JEAN MACE
0015;ABBAYE SAINT VINCENT (RUE DE L');2;20;1;43;30;RESTAURANT SCOLAIRE GERMAIN PILON
0020;ABBE GUENE (RUE DE L');8;54;1;53;24;RESTAURANT SCOLAIRE CLAIREFONTAINE
0025;ABBE HENRI BREUIL (RUE DE L');4;14;1;15;77;ECOLE MATERNELLE MARIE CURIE
0030;ABEILLES (RUE DES);4;8;3;17;31;ECOLE MATERNELLE DES MAILLETS
0032;ABEL CHARLEAU (RUE);8;10;1;17;63;MAISON POUR TOUS JEAN MOULIN
0033;ABEL GANCE (RUE);20;40;3;31;96;ITEMM
0035;ABORD AU CHANVRE (RUE DE L');2;10;1;35;93;RESTAURANT SCOLAIRE DE LA MADELEINE
0040;ABRAHAM (RUE);2;24;1;27;32;ECOLE MATERNELLE DES MAILLETS
0055;ACACIAS (RUE DES);2;68;17;63;78;ECOLE MATERNELLE MARIE CURIE
0060;ACTIVITE (RUE DE L');4;44;1;25;70;RESTAURANT SCOLAIRE BERTHE HUBERT
0063;ADELINE CHIPPARD (RUE);2;6;1;23;68;RESTAURANT SCOLAIRE JULES FERRY
0065;ADOLPHINE LAMBERT (RUE);2;26;5;27;14;RESTAURANT SCOLAIRE FERDINAND-BUISSON
0070;ADRIEN TIRONNEAU (PLACE);4;20;3;21;66;RESTAURANT SCOLAIRE JULES FERRY
0076;AGADIR (RUE D');2;32;3;9;20;ECOLE PRIMAIRE DU VILLARET
0074;AGAPORNIS (ALLEE DES);10;14;3;25;25;ECOLE PRIMAIRE CLAIREFONTAINE
0079;AGRIPPA D'AUBIGNE (ALLEE);4;22;1;9;34;RESTAURANT SCOLAIRE DU PLATEAU
0077;AGUILAS (RUE D');;;7;13;19;ECOLE PRIMAIRE DU VILLARET
0078;AH AH (RUE DE);;;1;1;84;SALLE DU CHENE VERT
0080;AIGLES (RUE DES);2;38;1;29;14;RESTAURANT SCOLAIRE FERDINAND-BUISSON
0081;AIGUILLE (ALLEE DE L');2;6;1;5;64;RESTAURANT SCOLAIRE DOCTEUR CALMETTE
0083;AIME CESAIRE (PLACE);;;;;96;ITEMM
0084;AIR PUR (IMPASSE DE L');4;12;;;22;ECOLE PRIMAIRE DU VILLARET
0085;AIR PUR (RUE DE L');8;18;1;45;22;ECOLE PRIMAIRE DU VILLARET
0087;ALAIN FOURNIER (RUE);;;1;17;25;ECOLE PRIMAIRE CLAIREFONTAINE
0089;ALAIN GERBAULT (RUE);2;30;1;27;60;RESTAURANT SCOLAIRE LOUIS BLERIOT
0086;ALBANIE (RUE D');2;28;1;31;38;RESTAURANT SCOLAIRE SABLONNIERE
0088;ALBATROS (RUE DES);2;60;5;47;26;ECOLE PRIMAIRE CLAIREFONTAINE
0090;ALBERT CAMUS (RUE);4;28;1;27;24;RESTAURANT SCOLAIRE CLAIREFONTAINE
0095;ALBERT DE MUN (RUE);2;14;1;13;93;RESTAURANT SCOLAIRE DE LA MADELEINE
0097;ALBERT EINSTEIN (RUE);8;124;55;71;95;RESTAURANT SCOLAIRE MARCEL PAGNOL
0100;ALBERT MAIGNAN (RUE);2;40;1;43;12;ECOLE PRIMAIRE SUZANNE-BUSSON
0105;ALBERT MEZERGUES (RUE);2;12;1;15;54;SALLE LE ROYAL
0108;ALBERT SAMAIN (RUE);2;4;;;18;MAISON DE QUARTIER CHARLES TRENET
0110;ALBERT THOMAS (RUE);2;22;1;17;68;RESTAURANT SCOLAIRE JULES FERRY
0112;ALCIDE DE GASPERI (RUE);2;2;;;41;MAISON DE QUARTIER EDITH PIAF
0115;ALEMBERT (RUE D');2;50;1;33;36;MAISON DE QUARTIER BARBARA
0120;ALENCON (ALLEE D');2;20;13;23;90;RESTAURANT SCOLAIRE ROGER BOUVET
0125;ALENCON (ROUTE D') (RD338);;;;;92;RESTAURANT SCOLAIRE DE LA MADELEINE
0125;ALENCON (ROUTE D') (RD338);;;;;95;RESTAURANT SCOLAIRE MARCEL PAGNOL
0133;ALEXANDER FLEMING (RUE);10;26;9;39;92;RESTAURANT SCOLAIRE DE LA MADELEINE
0130;ALEXANDRE DUBOIS (RUE);10;12;1;7;37;RESTAURANT SCOLAIRE SABLONNIERE
0134;ALEXANDRE DUMAS (RUE);;;;;18;MAISON DE QUARTIER CHARLES TRENET
0140;ALFRED DE MUSSET (RUE);;;1;67;35;MAISON DE QUARTIER BARBARA
0142;ALFRED DE VIGNY (RUE);2;86;1;67;18;MAISON DE QUARTIER CHARLES TRENET
0139;ALFRED HITCHCOCK (RUE);2;8;1;15;38;RESTAURANT SCOLAIRE SABLONNIERE
0144;ALFRED KASTLER (RUE);2;18;1;5;68;RESTAURANT SCOLAIRE JULES FERRY
0141;ALFRED NOBEL (ALLEE);;;1;5;96;ITEMM
0143;ALFRED SISLEY (RUE);;;11;11;57;RESTAURANT SCOLAIRE MICHEL ANGE
0143;ALFRED SISLEY (RUE);;;29;93;58;RESTAURANT SCOLAIRE MICHEL ANGE
0146;ALGER (PLACE D');;;;;3;ECOLE MATERNELLE GENERAL GOUGEARD
0145;ALGER (RUE D');2;38;1;51;3;ECOLE MATERNELLE GENERAL GOUGEARD
0148;ALICANTE (RUE D');14;24;11;13;19;ECOLE PRIMAIRE DU VILLARET
0152;ALLEMAGNE (RUE D');2;30;;;41;MAISON DE QUARTIER EDITH PIAF
0157;ALLONNES (ROUTE D');;;3;3;70;RESTAURANT SCOLAIRE BERTHE HUBERT
0170;ALMA (RUE DE L');;;1;17;4;ECOLE MATERNELLE GENERAL GOUGEARD
0172;ALMADA (IMPASSE D');2;22;3;3;42;MAISON DE QUARTIER EDITH PIAF
0175;ALOES (RUE DES);16;140;15;153;79;ECOLE MATERNELLE MARIE CURIE
0180;ALOUETTES (RUE DES);2;14;3;13;24;RESTAURANT SCOLAIRE CLAIREFONTAINE
0182;ALPES (RUE DES);4;4;1;59;40;RESTAURANT SCOLAIRE CLAUDE BERNARD
0182;ALPES (RUE DES);8;8;;;39;RESTAURANT SCOLAIRE CLAUDE BERNARD
0185;ALPHONSE ALLAIN (RUE);4;44;3;37;92;RESTAURANT SCOLAIRE DE LA MADELEINE
0187;ALPHONSE DAUDET (COURS);4;6;1;5;34;RESTAURANT SCOLAIRE DU PLATEAU
0186;ALPHONSE DAUDET (RUE);2;40;1;31;34;RESTAURANT SCOLAIRE DU PLATEAU
0190;ALPHONSE POITEVIN (RUE);6;48;;;29;RESTAURANT SCOLAIRE GERMAIN PILON
0195;ALSACE (RUE D');2;74;3;33;5;FOYER RENE-CLAIR
0201;AMANDIERS (RUE DES);2;24;1;31;21;ECOLE PRIMAIRE DU VILLARET
0205;AMARANTES (RUE DES);2;40;3;23;80;RESTAURANT SCOLAIRE MONTAIGU
0208;AMBOISE (ALLEE D');4;10;3;7;94;RESTAURANT SCOLAIRE MARCEL PAGNOL
0210;AMBROISE GENTIL (RUE);8;34;7;29;14;RESTAURANT SCOLAIRE FERDINAND-BUISSON
0215;AMBROISE PARE (RUE);128;146;127;139;83;ECOLE PRIMAIRE ARDRIERS
0215;AMBROISE PARE (RUE);2;118;1;161;74;ECOLE PRIMAIRE MARCEAU
5555;AMBROISE YZEUX (AVENUE);2;144;1;107;14;RESTAURANT SCOLAIRE FERDINAND-BUISSON
